ID,Link,Name
1,https://www.rum-x.com/rums/1/maison-ferrand-west-indies-plantation-extra-old-xo-20th-anniversary,maison-ferrand-west-indies-plantation-extra-old-xo-20th-anniversary
2,https://www.rum-x.com/rums/2/bleeding-heart-rum-company-don-papa-rum,bleeding-heart-rum-company-don-papa-rum
3,https://www.rum-x.com/rums/3/destilerias-unidas-s-a-diplomatico-botucal-reserva-exclusiva,destilerias-unidas-s-a-diplomatico-botucal-reserva-exclusiva
4,https://www.rum-x.com/rums/4/industrias-licoreras-de-guatemala-ron-zacapa-solera-centenario-23,industrias-licoreras-de-guatemala-ron-zacapa-solera-centenario-23
5,https://www.rum-x.com/rums/5/kraken-black-spiced-rum,kraken-black-spiced-rum
6,https://www.rum-x.com/rums/6/bodegas-williams-humbert-dos-maderas-5-years-5-years-px,bodegas-williams-humbert-dos-maderas-5-years-5-years-px
7,https://www.rum-x.com/rums/7/bumbu-the-original,bumbu-the-original
8,https://www.rum-x.com/rums/8/pyrat-xo-reserve,pyrat-xo-reserve
9,https://www.rum-x.com/rums/9/maison-ferrand-multi-distilleries-plantation-stiggins-fancy-pineapple-rum,maison-ferrand-multi-distilleries-plantation-stiggins-fancy-pineapple-rum
10,https://www.rum-x.com/rums/10/demerara-distillers-ltd-el-dorado-15,demerara-distillers-ltd-el-dorado-15
11,https://www.rum-x.com/rums/11/hampden-pure-single-jamaican-rum,hampden-pure-single-jamaican-rum
12,https://www.rum-x.com/rums/12/hacienda-agricola-de-chiclayo-millonario-solera-15-reserva-especial,hacienda-agricola-de-chiclayo-millonario-solera-15-reserva-especial
13,https://www.rum-x.com/rums/13/matusalem-gran-reserva-15-anos,matusalem-gran-reserva-15-anos
14,https://www.rum-x.com/rums/14/bleeding-heart-rum-company-don-papa-10-years,bleeding-heart-rum-company-don-papa-10-years
15,https://www.rum-x.com/rums/15/mount-gay-extra-old-xo-reserve-cask,mount-gay-extra-old-xo-reserve-cask
16,https://www.rum-x.com/rums/16/appleton-estate-rare-blend-12-years,appleton-estate-rare-blend-12-years
17,https://www.rum-x.com/rums/17/fabrica-nacional-de-licores-centenario-fundacion-20-anos-reserva-especial,fabrica-nacional-de-licores-centenario-fundacion-20-anos-reserva-especial
18,https://www.rum-x.com/rums/18/1423-world-class-spirits-companero-ron-panama-extra-anejo,1423-world-class-spirits-companero-ron-panama-extra-anejo
19,https://www.rum-x.com/rums/19/maison-ferrand-multi-distilleries-plantation-gran-anejo-guatemala-belize,maison-ferrand-multi-distilleries-plantation-gran-anejo-guatemala-belize
20,https://www.rum-x.com/rums/20/el-ron-prohibido-gran-reserva-15,el-ron-prohibido-gran-reserva-15
21,https://www.rum-x.com/rums/21/demerara-distillers-ltd-el-dorado-12,demerara-distillers-ltd-el-dorado-12
22,https://www.rum-x.com/rums/22/ah-riise-non-plus-ultra-very-rare-rum,ah-riise-non-plus-ultra-very-rare-rum
23,https://www.rum-x.com/rums/23/industrias-licoreras-de-guatemala-ron-zacapa-centenario-xo-solera-3-edition,industrias-licoreras-de-guatemala-ron-zacapa-centenario-xo-solera-3-edition
24,https://www.rum-x.com/rums/24/industrias-licoreras-de-guatemala-ron-zacapa-centenario-23-anos,industrias-licoreras-de-guatemala-ron-zacapa-centenario-23-anos
25,https://www.rum-x.com/rums/25/ah-riise-family-reserve-solera-1838-rum,ah-riise-family-reserve-solera-1838-rum
26,https://www.rum-x.com/rums/26/velier-multi-distilleries-royal-navy,velier-multi-distilleries-royal-navy
27,https://www.rum-x.com/rums/27/habitation-velier-hampden-hlcf,habitation-velier-hampden-hlcf
28,https://www.rum-x.com/rums/28/distillerie-du-simon-hse-grande-reserve-xo,distillerie-du-simon-hse-grande-reserve-xo
